Student,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,,,,,,,,,,,,
1,1800041,1800408,1800006,0,0,0,0,0,0,0,,,,,,,,,,,,
2,1800012,1800191,1800072,1800129,0,0,0,0,0,0,,,,,,,,,,,,
3,1800409,1800413,1800416,0,0,0,0,0,0,0,,,,,,,,,,,,
4,1800126,1800416,1800407,0,0,0,0,0,0,0,,,,,,,,,,,,
5,1800417,1800404,1800403,0,0,0,0,0,0,0,,,,,,,,,,,,
6,1800187,1800012,1800409,0,0,0,0,0,0,0,,,,,,,,,,,,
7,1800129,1800412,1800127,1800404,0,0,0,0,0,0,,,,,,,,,,,,
8,1800402,1800404,1800061,0,0,0,0,0,0,0,,,,,,,,,,,,
9,1800611,1800501,1800458,1800541,1800498,0,0,0,0,0,,,,,,,,,,,,
10,1800466,1800459,1800616,1800454,1800520,0,0,0,0,0,,,,,,,,,,,,
11,1800541,1800614,1800540,1800543,1800445,1800495,0,0,0,0,,,,,,,,,,,,
12,1800468,1800467,1800466,1800616,1800642,0,0,0,0,0,,,,,,,,,,,,
13,1800611,1800612,1800609,1800620,1800610,1800444,1800463,1800458,0,0,,,,,,,,,,,,
14,1800456,1800466,1800615,1800494,1800457,1800463,1800433,1800454,1800540,1800652,,,,,,,,,,,,
15,1800438,1800516,1800459,1800606,1800484,1800566,1800527,0,0,0,,,,,,,,,,,,
16,1800503,1800662,1800444,1800463,1800521,0,0,0,0,0,,,,,,,,,,,,
17,1800459,1800461,1800520,1800620,1800462,1800544,0,0,0,0,,,,,,,,,,,,
18,1800542,1800445,1800635,1800618,1800494,0,0,0,0,0,,,,,,,,,,,,
19,1800466,1800616,1800493,1800543,1800450,1800445,0,0,0,0,,,,,,,,,,,,
20,1800443,1800427,1800457,1800444,1800493,0,0,0,0,0,,,,,,,,,,,,
21,1800520,1800521,1800522,1800459,1800460,1800462,1800461,1800557,1800558,1800512,,,,,,,,,,,,
22,1800433,1800640,1800456,1800630,1800658,1800454,0,0,0,0,,,,,,,,,,,,
23,1800620,1800540,1800545,1800544,1800466,0,0,0,0,0,,,,,,,,,,,,
24,1800614,1800459,1800445,1800650,1800651,1800538,0,0,0,0,,,,,,,,,,,,
25,1800444,1800458,1800463,1800465,1800620,1800655,0,0,0,0,,,,,,,,,,,,
26,1800445,1800544,1800540,1800543,1800463,1800620,0,0,0,0,,,,,,,,,,,,
27,1800616,1800454,1800457,1800466,1800573,0,0,0,0,0,,,,,,,,,,,,
28,1800542,1800429,1800433,1800626,1800545,1800543,1800544,1800540,0,0,,,,,,,,,,,,
29,1800546,1800501,1800547,1800458,1800464,0,0,0,0,0,,,,,,,,,,,,
30,1800542,1800433,1800429,1800668,1800540,1800657,0,0,0,0,,,,,,,,,,,,
31,1800550,1800551,1800552,1800495,1800528,1800464,1800529,0,0,0,,,,,,,,,,,,
32,1800496,1800498,1800450,1800464,1800445,1800550,0,0,0,0,,,,,,,,,,,,
33,1800482,1800530,1800439,1800487,1800437,1800587,0,0,0,0,,,,,,,,,,,,
34,1800458,1800444,1800463,1800520,1800619,1800459,0,0,0,0,,,,,,,,,,,,
35,1800501,1800585,1800550,1800551,1800552,1800496,1800470,1800457,0,0,,,,,,,,,,,,
36,1800466,1800458,1800615,1800616,1800642,1800444,0,0,0,0,,,,,,,,,,,,
37,1800072,1800191,1800416,0,0,0,0,0,0,0,,,,,,,,,,,,
38,1800191,1800192,1800073,0,0,0,0,0,0,0,,,,,,,,,,,,
39,1800466,1800616,1800445,1800620,1800444,0,0,0,0,0,,,,,,,,,,,,
40,1800451,1800445,1800542,1800452,1800616,1800494,1800493,0,0,0,,,,,,,,,,,,
41,1800450,1800451,1800466,1800542,1800445,0,0,0,0,0,,,,,,,,,,,,
42,1800478,1800470,1800491,1800443,1800453,1800427,0,0,0,0,,,,,,,,,,,,
43,1800444,1800620,1800616,1800458,1800655,1800445,1800466,0,0,0,,,,,,,,,,,,
44,1800457,1800540,1800545,1800544,1800619,0,0,0,0,0,,,,,,,,,,,,
45,1800614,1800538,1800573,1800610,1800541,1800572,1800546,0,0,0,,,,,,,,,,,,
46,1800484,1800483,1800482,1800554,1800429,0,0,0,0,0,,,,,,,,,,,,
47,1800552,1800551,1800550,1800561,1800588,1800541,0,0,0,0,,,,,,,,,,,,
48,1800620,1800495,1800469,1800546,1800493,0,0,0,0,0,,,,,,,,,,,,
49,1800620,1800466,1800616,1800637,1800445,0,0,0,0,0,,,,,,,,,,,,
50,1800566,1800658,1800438,1800525,1800570,0,0,0,0,0,,,,,,,,,,,,
51,1800524,1800521,1800520,1800557,1800558,1800554,1800504,1800505,1800459,0,,,,,,,,,,,,
52,1800553,1800429,1800428,1800629,1800560,0,0,0,0,0,,,,,,,,,,,,
53,1800626,1800540,1800668,1800614,1800483,0,0,0,0,0,,,,,,,,,,,,
54,1800451,1800520,1800466,1800459,1800507,1800636,1800616,1800661,1800632,1800630,,,,,,,,,,,,
55,1800545,1800544,1800647,1800516,1800660,1800542,1800565,0,0,0,,,,,,,,,,,,
56,1800459,1800614,1800521,1800520,1800523,0,0,0,0,0,,,,,,,,,,,,
57,1800614,1800620,1800542,1800617,1800637,1800463,1800540,1800493,1800610,1800490,,,,,,,,,,,,
58,1800573,1800616,1800635,1800465,1800445,1800494,1800615,1800454,0,0,,,,,,,,,,,,
59,1800622,1800664,1800673,1800669,1800613,1800525,0,0,0,0,,,,,,,,,,,,
60,1800478,1800644,1800472,1800453,1800491,1800493,0,0,0,0,,,,,,,,,,,,
61,1800650,1800466,1800651,1800652,1800465,1800620,1800656,0,0,0,,,,,,,,,,,,
62,1800635,1800564,1800453,1800451,0,0,0,0,0,0,,,,,,,,,,,,
63,1800466,1800606,1800465,1800615,1800616,1800642,0,0,0,0,,,,,,,,,,,,
64,1800571,1800521,1800430,1800566,1800443,1800572,1800574,1800427,0,0,,,,,,,,,,,,
65,1800432,1800431,1800668,1800429,1800543,1800545,1800544,1800662,0,0,,,,,,,,,,,,
66,1800545,1800543,1800466,1800458,1800626,0,0,0,0,0,,,,,,,,,,,,
67,1800662,1800444,1800466,1800616,1800445,0,0,0,0,0,,,,,,,,,,,,
68,1800658,1800673,1800602,1800459,1800660,1800504,1800669,0,0,0,,,,,,,,,,,,
69,1800658,1800555,1800454,1800542,1800677,0,0,0,0,0,,,,,,,,,,,,
70,1800614,1800459,1800469,1800617,1800546,0,0,0,0,0,,,,,,,,,,,,
71,1800662,1800663,1800503,1800538,1800561,0,0,0,0,0,,,,,,,,,,,,
72,1800541,1800655,1800466,1800538,1800468,1800502,0,0,0,0,,,,,,,,,,,,
73,1800433,1800454,1800531,1800443,1800618,0,0,0,0,0,,,,,,,,,,,,
74,1800651,1800616,1800466,1800454,1800456,0,0,0,0,0,,,,,,,,,,,,
75,1800614,1800459,1800540,1800497,1800499,1800463,1800571,1800558,0,0,,,,,,,,,,,,
76,1800658,1800428,1800524,1800553,1800483,1800484,1800568,1800569,0,0,,,,,,,,,,,,
77,1800445,1800542,1800543,1800635,1800494,0,0,0,0,0,,,,,,,,,,,,
78,1800650,1800651,1800458,1800620,1800629,0,0,0,0,0,,,,,,,,,,,,
79,1800463,1800444,1800493,1800654,1800651,0,0,0,0,0,,,,,,,,,,,,
80,1800649,1800588,1800618,1800616,1800494,0,0,0,0,0,,,,,,,,,,,,
81,1800656,1800653,1800476,1800655,1800654,1800648,1800651,1800637,1800492,1800652,,,,,,,,,,,,
82,1800650,1800637,1800649,1800640,1800445,1800567,0,0,0,0,,,,,,,,,,,,
83,1800494,1800429,1800544,1800606,1800527,0,0,0,0,0,,,,,,,,,,,,
84,1800465,1800588,1800458,1800444,1800612,0,0,0,0,0,,,,,,,,,,,,
85,1800626,1800622,1800521,1800454,1800432,0,0,0,0,0,,,,,,,,,,,,
86,1800617,1800433,1800454,1800682,1800540,1800658,0,0,0,0,,,,,,,,,,,,
87,1800650,1800620,1800494,1800614,1800458,1800463,1800464,1800467,1800493,1800445,,,,,,,,,,,,
88,1800649,1800650,1800618,1800688,1800561,1800453,1800642,1800445,0,0,,,,,,,,,,,,
89,1800616,1800445,1800444,1800452,1800457,0,0,0,0,0,,,,,,,,,,,,
90,1800620,1800465,1800654,1800463,1800466,1800656,1800452,1800451,0,0,,,,,,,,,,,,
91,1800561,1800464,1800466,1800626,1800586,0,0,0,0,0,,,,,,,,,,,,
92,1800520,1800506,1800507,1800496,1800461,0,0,0,0,0,,,,,,,,,,,,
93,1800438,1800662,1800663,1800437,1800626,1800566,0,0,0,0,,,,,,,,,,,,
94,1800555,1800554,1800557,1800558,1800547,1800638,1800613,0,0,0,,,,,,,,,,,,
95,1800610,1800611,1800494,1800495,1800493,1800616,1800620,1800609,1800650,0,,,,,,,,,,,,
96,1800493,1800494,1800650,1800620,1800616,1800656,1800652,1800611,1800651,0,,,,,,,,,,,,
97,1800554,1800669,1800673,1800509,1800671,0,0,0,0,0,,,,,,,,,,,,
98,1800449,1800669,1800447,1800673,1800671,1800523,1800509,0,0,0,,,,,,,,,,,,
99,1800469,1800464,1800628,1800453,1800494,0,0,0,0,0,,,,,,,,,,,,
100,1800544,1800545,1800538,1800617,1800656,1800529,0,0,0,0,,,,,,,,,,,,
101,1800622,1800494,1800642,1800429,1800640,0,0,0,0,0,,,,,,,,,,,,
102,1800615,1800622,1800433,1800429,1800542,0,0,0,0,0,,,,,,,,,,,,
103,1800567,1800445,1800454,1800451,1800452,0,0,0,0,0,,,,,,,,,,,,
104,1800538,1800457,1800444,1800491,1800493,0,0,0,0,0,,,,,,,,,,,,
105,1800637,1800640,1800445,1800567,1800542,0,0,0,0,0,,,,,,,,,,,,
106,1800682,1800614,1800459,1800521,1800616,1800520,1800572,0,0,0,,,,,,,,,,,,
107,1800503,1800502,1800650,1800478,1800573,0,0,0,0,0,,,,,,,,,,,,
108,1800637,1800466,1800451,1800465,1800492,1800445,1800685,1800447,0,0,,,,,,,,,,,,
109,1800445,1800567,1800543,1800544,1800626,1800635,1800618,0,0,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
